"subject","predicate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2003/01/geo/wgs84_pos#long"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://xmlns.com/foaf/0.1/depiction"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://purl.org/dc/terms/subject"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageID"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageRevisionID"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageWikiLink"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2002/07/owl#sameAs"
